time_ms,thr,roll_sp,roll_gyro,roll_P,roll_I,roll_D,pitch_sp,pitch_gyro,pitch_P,pitch_I,pitch_D,yaw_sp,yaw_gyro,yaw_P,yaw_I,yaw_D
18,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
38,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.04,0.000,0.000,0.000
58,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
78,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
98,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
118,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
138,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
158,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
178,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
198,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
218,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
238,1000,0.00,0.00,0.000,0.000,0.000,0.00,-0.01,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
258,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
278,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
298,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
318,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
338,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
358,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
378,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
398,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.03,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
418,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
438,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
458,1000,0.00,0.02,0.000,0.000,0.000,0.00,-0.01,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
478,1000,0.00,0.03,0.000,0.000,0.000,0.00,-0.01,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
498,1000,0.00,0.05,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
518,1000,0.00,0.05,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
538,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
558,1000,0.00,0.02,0.000,0.000,0.000,0.00,-0.01,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
578,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
